paper_id,issue_year,field_jel,team_size,author_cluster_id,idea_quality,offshelf_llm_score,execution_quality,connection_index,author_ability_index,team_max_prior_publications,team_mean_prior_publications,team_max_prior_top5_publications,team_sum_prior_top5_publications,team_max_years_since_first_publication,team_mean_years_since_first_publication,author_prior_publications_total,author_prior_publications_recent_5yr,author_prior_top5_publications,author_years_since_first_publication,coauthor_network_degree_max,coauthor_network_degree_mean,coauthor_network_centrality_max,has_star_coauthor,institution_prestige_best_tier,institution_prestige_mean_tier,n_authors_moved_to_better_institution,author_ever_editor,author_ever_top5_editor,editor_tenure_years_max,editor_tenure_years_sum,has_editor_coauthor,n_editor_coauthors,n_advisors_who_are_top5_editors,acknowledged_editors,idea_quality_ensemble,placement_rung,placement_label,reached_top5,prestige,log_citations,idea_tier,offshelf_llm_tier,has_editor_tie,connection_tier
w15643,2010,D,1,12,3.3149685,2.15,3.85,-0.2749432783183902,-0.6041913320692415,10.0,10.0,0.0,0.0,29.0,29.0,10.0,7.0,0.0,29.0,2.0,2.0,0.000266,0,3.0,3.0,0.0,0,0,0,0,0,0,0,1.0,3.31477338229195,2,mid,0,0,3.912023005428146,strong,fair,1,low
w15644,2010,D,2,13,3.721181,2.1999999999999997,2.15,-0.5135488168750753,-0.5689462898791781,75.0,60.0,1.0,2.0,25.0,17.5,75.0,22.0,1.0,25.0,11.0,9.5,0.001471,1,1.0,1.5,1.0,0,0,0,0,0,0,0,0.0,3.73680187113276,3,top_field,0,1,6.597145701886651,exceptional,fair,0,none
w15645,2010,E,1,14,2.1080675,2.15,1.4,-0.5867535590162388,0.15938893926656,360.0,360.0,5.0,5.0,47.0,47.0,360.0,58.0,5.0,47.0,20.0,20.0,0.025872,1,1.0,1.0,0.0,0,0,0,0,1,2,0,0.0,2.028016903075969,1,lower,0,0,3.6375861597263857,fair,fair,0,none
w15646,2010,G,2,15,3.7285315,2.75,3.85,-0.1486215693750353,-0.7229163650365497,74.0,67.0,2.0,3.0,33.0,23.0,60.0,25.0,2.0,13.0,11.0,7.0,0.019233,1,1.0,1.0,2.0,0,0,0,0,1,2,0,1.0,3.730106618472977,4,top5,1,1,5.488937726156687,exceptional,strong,1,low
w15647,2010,O,2,16,3.806552,2.75,4.35,-0.6752735567766466,-1.0868126595258611,33.0,25.0,1.0,1.0,6.0,4.5,17.0,17.0,1.0,3.0,9.0,6.0,0.006683,0,1.0,2.0,0.0,0,0,0,0,1,1,0,1.0,3.817350160871338,3,top_field,0,1,7.023758954738443,exceptional,strong,1,low
w15648,2010,I,3,17,3.4669235,2.15,4.35,-0.5320726739309961,-1.08476042266158,28.0,16.67,2.0,2.0,22.0,13.67,18.0,14.0,0.0,8.0,6.0,4.33,0.001487,0,1.0,1.67,1.0,0,0,0,0,1,1,0,1.0,3.4434878124155923,3,top_field,0,1,6.091309882077698,strong,fair,1,low
w15649,2010,H,4,18,3.8533415,2.15,2.95,-0.2193672693529872,6.704834191971404,277.0,213.5,36.0,79.0,210.0,78.0,164.0,43.0,27.0,210.0,35.0,27.25,0.041664,1,1.0,2.25,0.0,0,0,0,0,1,5,0,0.0,3.873940125747928,0,unmatched,0,0,0.0,exceptional,fair,0,none
w15650,2010,L,2,19,2.3259939999999997,2.15,2.5,-0.1524664348086662,-0.1363556275790569,192.0,98.0,1.0,1.0,48.0,36.0,4.0,3.0,0.0,48.0,29.0,15.0,0.06265,1,2.0,2.0,0.0,0,0,0,0,1,3,0,0.0,2.0221791183420836,0,unmatched,0,0,0.0,fair,fair,0,none
w15651,2010,K,1,20,3.670264,2.85,1.85,-0.3350181779908246,2.370933864868886,352.0,352.0,36.0,36.0,25.0,25.0,352.0,70.0,36.0,25.0,37.0,37.0,0.05226,1,1.0,1.0,0.0,0,0,0,0,1,2,0,1.0,3.814066706586649,0,unmatched,0,0,0.0,exceptional,strong,1,low
w15652,2010,E,2,20,3.9027035,2.8,3.15,-0.5348691893219387,2.370933864868886,352.0,242.5,36.0,48.0,25.0,25.0,352.0,70.0,36.0,25.0,37.0,25.0,0.05226,1,1.0,1.0,0.0,0,0,0,0,1,2,0,0.0,3.9207218780571207,3,top_field,0,1,1.3862943611198906,exceptional,strong,0,none
w15653,2010,G,2,21,2.968011,2.1999999999999997,3.35,-0.6487799078563485,-0.7466699089266349,28.0,26.5,0.0,0.0,14.0,13.0,28.0,27.0,0.0,14.0,4.0,2.5,0.004493,0,1.0,1.5,1.0,0,0,0,0,1,3,0,0.0,2.885230898979212,3,top_field,0,1,6.428105272684596,strong,fair,0,none
w15654,2010,C,3,22,3.2391224999999997,2.1999999999999997,4.15,-0.2712337750906592,-0.3629320303072523,192.0,89.0,11.0,14.0,18.0,9.33,72.0,50.0,3.0,10.0,22.0,12.67,0.019931,1,1.0,1.33,2.0,0,0,0,0,0,0,0,0.0,3.087198978275182,0,unmatched,0,0,0.0,strong,fair,0,none
w15655,2010,I,1,23,3.3748345000000004,2.15,4.05,-0.1987047297258437,0.3165365810402878,105.0,105.0,5.0,5.0,27.0,27.0,105.0,59.0,5.0,27.0,15.0,15.0,0.005823,1,2.0,2.0,0.0,0,0,0,0,1,3,0,1.0,3.1668875570943187,0,unmatched,0,0,0.0,strong,fair,1,low
w15656,2010,D,1,24,2.8617245,2.15,2.15,-0.5500921698883561,-0.1301091979018242,220.0,220.0,4.0,4.0,29.0,29.0,220.0,52.0,4.0,29.0,7.0,7.0,0.00714,1,1.0,1.0,1.0,1,0,1,1,0,0,0,0.0,2.6718137900933967,2,mid,0,0,0.0,strong,fair,1,low
w15657,2010,E,2,25,1.6686905,2.15,3.35,-0.3779840736481504,0.2376792384803705,326.0,189.5,7.0,7.0,34.0,21.5,326.0,69.0,7.0,34.0,34.0,19.5,0.03961,1,1.0,1.0,1.0,0,0,0,0,1,3,0,0.0,1.6236629634870416,3,top_field,0,1,4.624972813284271,limited,fair,0,none
w15658,2010,I,2,26,2.8810055,2.1999999999999997,4.15,-0.0164093952198352,-0.9686677188954356,55.0,33.5,1.0,1.0,14.0,10.5,12.0,10.0,0.0,14.0,21.0,11.0,0.020507,1,3.0,3.0,0.0,0,0,0,0,0,0,0,0.0,2.8176944628403584,2,mid,0,0,3.4657359027997265,strong,fair,0,none
w15659,2010,D,3,27,2.1798935,2.15,3.75,-0.0300539283950586,-0.6159190382572759,59.0,27.0,3.0,4.0,8.0,6.67,59.0,35.0,3.0,8.0,22.0,8.67,0.035622,1,2.0,2.0,1.0,0,0,0,0,1,4,0,0.0,2.0475491190250033,3,top_field,0,1,6.089044875446846,fair,fair,0,none
w15660,2010,F,4,28,3.1522055,2.15,3.85,0.0830893056081464,-0.3433467767492774,158.0,112.25,5.0,15.0,58.0,37.75,64.0,24.0,2.0,28.0,22.0,16.0,0.018086,1,1.0,2.0,2.0,0,0,0,0,1,4,0,0.0,2.9837911297439503,3,top_field,0,1,5.3471075307174685,strong,fair,0,none
w15661,2010,A,1,29,1.5004585,2.15,1.6,-0.453315105282459,0.5890484324541778,228.0,228.0,5.0,5.0,36.0,36.0,228.0,82.0,5.0,36.0,8.0,8.0,0.006397,1,2.0,2.0,0.0,0,0,0,0,0,0,0,0.0,1.157993372190243,0,unmatched,0,0,0.0,limited,fair,0,none
w15662,2010,E,1,30,3.004599,2.15,2.85,-0.1441420384320027,1.9430245496431648,142.0,142.0,3.0,3.0,63.0,63.0,142.0,118.0,3.0,63.0,12.0,12.0,0.017841,1,2.0,2.0,0.0,0,0,0,0,0,0,0,4.0,2.998576293354239,1,lower,0,0,0.0,fair,fair,1,low
w15664,2010,UNK,3,31,3.822864,2.85,4.7,0.150418461518395,-0.4995789380030489,495.0,191.0,47.0,53.0,38.0,19.33,51.0,43.0,2.0,10.0,61.0,26.33,0.059479,1,1.0,1.67,1.0,1,1,1,1,1,6,0,0.0,3.8484850743559353,4,top5,1,1,7.3613754289773485,exceptional,strong,1,mid
w15666,2010,H,2,32,3.27811,2.75,4.3,-0.0094691520591606,-0.5877522008422045,71.0,36.5,1.0,1.0,17.0,8.5,71.0,34.0,1.0,17.0,7.0,4.0,0.005273,1,3.0,3.0,0.0,0,0,0,0,0,0,0,1.0,3.287535205957875,0,unmatched,0,0,0.0,strong,strong,1,mid
w15667,2010,H,1,33,1.0219345,2.15,2.75,-0.2532660131658804,-0.6615782434175467,90.0,90.0,1.0,1.0,15.0,15.0,90.0,36.0,1.0,15.0,12.0,12.0,0.012401,1,2.0,2.0,0.0,0,0,0,0,1,2,0,0.0,1.0209484498047123,0,unmatched,0,0,0.0,limited,fair,0,none
w15668,2010,D,3,34,3.462086,2.1999999999999997,3.05,0.0718728215706872,-1.2198965249452678,94.0,41.33,12.0,12.0,40.0,18.67,6.0,5.0,0.0,7.0,4.0,1.67,0.003185,1,3.0,3.0,0.0,0,0,0,0,1,1,0,0.0,3.4478985763626193,2,mid,0,0,2.0794415416798357,strong,fair,0,none
w15669,2010,N,2,35,2.2344335,1.35,3.5,-0.4826692726158503,-0.5481014191301942,65.0,63.5,0.0,0.0,25.0,23.0,65.0,27.0,0.0,25.0,6.0,5.0,0.004684,1,2.0,2.0,0.0,0,0,0,0,0,0,0,0.0,2.1410067139210938,0,unmatched,0,0,0.0,fair,limited,0,none
w15670,2010,E,2,36,2.1545405,2.85,3.35,-0.0821349118764103,-0.5754806699067906,72.0,57.5,2.0,3.0,11.0,11.0,72.0,40.0,2.0,11.0,10.0,8.0,0.006807,1,2.0,2.5,1.0,0,0,0,0,0,0,0,0.0,2.129085190713698,0,unmatched,0,0,0.0,fair,strong,0,none
w15671,2010,J,3,37,2.948933,2.1999999999999997,4.3,-0.3173371300601951,-0.8819556784358811,45.0,27.33,1.0,2.0,10.0,9.0,28.0,27.0,0.0,9.0,8.0,3.33,0.001047,0,2.0,2.33,1.0,0,0,0,0,0,0,0,2.0,2.8086557269500805,1,lower,0,0,1.3862943611198906,strong,fair,1,low
w15672,2010,I,2,23,3.5332975,2.1999999999999997,4.65,-0.1756656631024942,0.3560575133938709,101.0,90.0,5.0,7.0,49.0,38.0,79.0,35.0,2.0,49.0,15.0,11.0,0.005824,1,2.0,2.5,0.0,0,0,0,0,1,3,0,0.0,3.5459605800600213,3,top_field,0,1,1.791759469228055,strong,fair,0,none
w15673,2010,O,1,38,2.5105415,2.0999999999999996,2.3,-0.2055898751474573,-0.4398493510586789,62.0,62.0,1.0,1.0,21.0,21.0,62.0,35.0,1.0,21.0,8.0,8.0,0.005826,1,2.0,2.0,1.0,0,0,0,0,0,0,0,0.0,2.4864790377203025,1,lower,0,0,5.308267697401205,fair,fair,0,none
w15674,2010,D,3,39,3.8300925,2.85,3.55,0.244691243524541,-0.9548111057495068,184.0,119.67,24.0,24.0,59.0,26.0,35.0,27.0,0.0,7.0,33.0,17.33,0.023638,1,2.0,2.33,1.0,0,0,0,0,1,4,0,3.0,3.830553330925079,3,top_field,0,1,6.150602768446279,exceptional,strong,1,high
w15675,2010,C,3,40,2.442678,2.1999999999999997,3.85,-0.1918045530498427,1.0021290035359274,267.0,152.67,17.0,30.0,33.0,27.33,267.0,97.0,10.0,31.0,49.0,20.67,0.03928,1,2.0,2.33,0.0,0,0,0,0,1,5,0,0.0,2.4372495527208016,0,unmatched,0,0,0.0,strong,fair,0,none
w15676,2010,N,2,41,2.5796574999999997,2.15,1.85,-0.0814522518838136,0.1185898457434557,155.0,153.5,0.0,0.0,43.0,31.0,155.0,54.0,0.0,43.0,26.0,20.0,0.012042,1,2.0,2.0,1.0,0,0,0,0,0,0,0,1.0,2.263531875108308,0,unmatched,0,0,0.0,fair,fair,1,low
w15678,2010,I,5,42,3.2191705,2.15,3.75,0.154983977619535,-0.8645208145929705,400.0,126.6,19.0,22.0,98.0,42.2,27.0,21.0,0.0,13.0,74.0,24.2,0.092716,1,1.0,2.2,2.0,0,0,0,0,1,12,0,0.0,3.3750385823279885,0,unmatched,0,0,0.0,exceptional,fair,0,none
w15679,2010,F,2,43,3.159674,2.1999999999999997,3.35,-0.4345845492773535,-0.706287664397464,43.0,23.0,1.0,1.0,11.0,8.0,43.0,32.0,1.0,11.0,6.0,3.5,0.006807,0,2.0,2.0,1.0,0,0,0,0,0,0,0,1.0,3.0073039395337693,2,mid,0,0,3.713572066704308,strong,fair,1,low
w15680,2010,O,1,44,2.070483,2.15,2.65,-0.2394261295557962,1.198908380051216,494.0,494.0,11.0,11.0,49.0,49.0,494.0,112.0,11.0,49.0,28.0,28.0,0.040918,1,1.0,1.0,1.0,0,0,0,0,1,2,0,0.0,2.004841385012455,0,unmatched,0,0,0.0,fair,fair,0,none
w15681,2010,E,1,45,3.0984879999999997,2.15,2.95,-0.2373879690569273,-0.0701618408555544,141.0,141.0,9.0,9.0,20.0,20.0,141.0,31.0,9.0,20.0,12.0,12.0,0.015861,1,2.0,2.0,0.0,0,0,0,0,1,1,0,0.0,2.958911599148681,0,unmatched,0,0,0.0,strong,fair,0,none
w15682,2010,G,3,46,1.8804045,2.1999999999999997,3.65,-0.4166860789556379,1.9435698679145512,392.0,195.67,3.0,3.0,82.0,51.33,392.0,128.0,3.0,82.0,36.0,13.67,0.021002,1,1.0,2.33,0.0,0,0,0,0,1,3,0,0.0,1.5308622814419257,0,unmatched,0,0,0.0,limited,fair,0,none
w15683,2010,I,2,47,2.8640445,2.15,3.2,-0.341082445286332,-1.260941806241512,101.0,55.5,5.0,5.0,27.0,15.0,10.0,10.0,0.0,3.0,15.0,8.0,0.005824,1,2.0,2.0,0.0,0,0,0,0,1,3,0,0.0,2.665008874701393,1,lower,0,0,0.0,fair,fair,0,none
w15684,2010,J,3,48,3.148023,2.75,4.65,-0.0595325806175178,-1.0444664220496265,229.0,90.67,1.0,1.0,35.0,14.67,25.0,23.0,0.0,5.0,10.0,5.67,0.009751,1,1.0,2.0,0.0,0,0,0,0,1,3,0,7.0,3.215193261572195,4,top5,1,1,6.159095388491933,fair,strong,1,low
w15686,2010,D,4,49,3.7724465,2.1999999999999997,4.45,-0.1092947894252594,-1.445322918385492,199.0,78.75,11.0,15.0,31.0,15.75,2.0,2.0,0.0,0.0,17.0,10.25,0.01828,1,1.0,2.0,0.0,1,0,1,1,1,1,0,4.0,3.776196987278955,4,top5,1,1,5.455321115357702,exceptional,fair,1,low
w15687,2010,I,3,50,3.7887625,2.75,3.95,-0.7573920062361217,-1.458224124690296,26.0,12.67,1.0,1.0,10.0,5.0,1.0,1.0,0.0,0.0,7.0,4.67,0.00481,0,1.0,2.0,0.0,0,0,0,0,1,3,0,0.0,3.803395094987343,3,top_field,0,1,3.9889840465642745,exceptional,strong,0,none
w15688,2010,E,3,51,2.5090095,2.15,4.35,0.7695613549913066,-0.925846082721908,93.0,65.33,2.0,3.0,52.0,22.67,30.0,28.0,0.0,7.0,38.0,23.0,0.066392,1,2.0,2.0,2.0,0,0,0,0,1,4,0,6.0,2.321695801104282,3,top_field,0,1,5.1647859739235145,fair,fair,1,high
w15689,2010,D,4,52,2.0582715,2.15,2.65,0.2535069850428904,-0.7339880371992562,116.0,49.75,1.0,1.0,47.0,21.5,30.0,16.0,0.0,21.0,7.0,5.0,0.002447,1,2.0,2.0,3.0,0,0,0,0,0,0,0,0.0,2.0118741387430212,0,unmatched,0,0,0.0,fair,fair,0,none
w15690,2010,C,1,53,2.8905285000000003,2.0999999999999996,3.65,-0.246399859466501,0.8017199864980731,288.0,288.0,15.0,15.0,43.0,43.0,288.0,40.0,15.0,43.0,13.0,13.0,0.014097,1,2.0,2.0,0.0,0,0,0,0,1,3,0,0.0,2.8690645482480353,1,lower,0,0,1.3862943611198906,strong,fair,0,none
w15691,2010,H,3,54,2.9427955,2.15,3.35,-0.0729332730306385,-0.982973333718039,68.0,52.67,1.0,1.0,23.0,15.67,25.0,20.0,0.0,9.0,10.0,6.0,0.002602,1,3.0,3.0,0.0,0,0,0,0,0,0,0,0.0,2.628124530576547,0,unmatched,0,0,0.0,fair,fair,0,none
w15692,2010,D,1,55,2.3340215,2.75,3.45,-0.1101660057516226,0.3385139655538001,224.0,224.0,11.0,11.0,40.0,40.0,224.0,26.0,11.0,40.0,19.0,19.0,0.044961,1,2.0,2.0,0.0,0,0,0,0,1,3,0,0.0,2.2332563147317273,0,unmatched,0,0,0.0,limited,strong,0,none
w15693,2010,D,1,56,3.5229165,2.85,2.85,0.5903005176314862,5.276344715807211,457.0,457.0,42.0,42.0,24.0,24.0,457.0,244.0,42.0,24.0,72.0,72.0,0.089131,1,1.0,1.0,1.0,1,1,2,2,1,13,0,1.0,3.524024791362577,3,top_field,0,1,4.143134726391533,strong,strong,1,high
w15694,2010,F,2,57,2.3179625,2.15,2.95,0.8176730683850212,-0.6526814266482548,457.0,244.5,42.0,45.0,24.0,16.0,32.0,28.0,3.0,8.0,72.0,48.0,0.089131,1,1.0,1.5,1.0,1,1,2,2,1,16,1,1.0,2.083125594487127,3,top_field,0,1,4.406719247264253,fair,fair,1,high
w15695,2010,D,3,58,3.143535,2.15,4.15,-0.3260598640520578,-1.325447837765532,22.0,10.33,0.0,0.0,39.0,14.33,5.0,5.0,0.0,3.0,8.0,4.33,0.005221,0,3.0,3.0,0.0,0,0,0,0,0,0,0,0.0,3.056683074150659,0,unmatched,0,0,0.0,strong,fair,0,none
w15696,2010,H,4,59,2.1990195,2.15,3.5,-0.6863043482997087,-0.3224909838524958,200.0,84.25,0.0,0.0,130.0,53.33,136.0,45.0,0.0,30.0,1.0,0.5,0.000275,1,1.0,2.0,0.0,0,0,0,0,0,0,0,0.0,2.0049405588383893,1,lower,0,0,2.772588722239781,fair,fair,0,none
w15697,2010,K,2,60,2.2852694999999996,2.1999999999999997,3.85,-0.3206493699671202,2.099157278379693,67.0,36.0,1.0,1.0,109.0,55.5,67.0,46.0,1.0,109.0,7.0,4.0,0.000318,1,2.0,2.5,0.0,0,0,0,0,0,0,0,1.0,2.034708788504855,2,mid,0,0,4.74493212836325,fair,fair,1,low
w15698,2010,F,2,61,3.3704965,2.15,2.35,-0.2506402634796449,-1.0555112736034564,73.0,48.0,3.0,3.0,35.0,22.0,23.0,15.0,0.0,9.0,5.0,3.0,0.004728,1,2.0,2.0,1.0,0,0,0,0,0,0,0,0.0,3.3265413213828925,1,lower,0,0,4.02535169073515,strong,fair,0,none
w15699,2010,N,1,62,3.5091555000000003,2.8,2.65,-0.4939801525881877,-0.6015625991003843,62.0,62.0,0.0,0.0,21.0,21.0,62.0,30.0,0.0,21.0,4.0,4.0,0.001432,1,2.0,2.0,0.0,0,0,0,0,0,0,0,0.0,3.612085008307736,0,unmatched,0,0,0.0,exceptional,strong,0,none
w15700,2010,D,3,63,3.2193880000000004,2.8,4.45,-0.4306732902107168,-0.8801326850825906,103.0,74.5,0.0,0.0,17.0,14.5,46.0,25.0,0.0,12.0,22.0,13.5,0.046915,1,1.0,1.5,0.0,0,0,0,0,1,6,0,1.0,3.022578584890202,0,unmatched,0,0,0.0,strong,strong,1,low
w15701,2010,C,3,64,3.2229955,2.1999999999999997,4.55,-0.2480674194262269,4.679856838844082,315.0,107.67,24.0,24.0,107.0,36.67,315.0,134.0,24.0,107.0,33.0,12.67,0.008189,1,1.0,1.67,1.0,0,0,0,0,1,2,0,2.0,3.081703515301938,1,lower,0,0,5.493061443340548,strong,fair,1,low
w15702,2010,E,2,65,3.7716905,2.15,4.3,0.387289486735606,-0.08546535350169,402.0,216.5,39.0,40.0,210.0,128.0,31.0,9.0,1.0,46.0,47.0,25.0,0.065967,1,3.0,3.0,0.0,1,0,1,1,1,3,0,0.0,3.777202252609429,3,top_field,0,1,4.59511985013459,exceptional,fair,1,high
w15703,2010,C,3,66,2.1282005,2.0999999999999996,4.65,-0.007400490280705,-0.4799005646290887,68.0,52.67,2.0,2.0,80.0,34.33,51.0,46.0,2.0,9.0,5.0,3.67,0.002941,1,1.0,2.0,2.0,0,0,0,0,1,2,0,0.0,2.036948311916122,0,unmatched,0,0,0.0,fair,fair,0,none
w15704,2010,N,1,67,2.3916500000000003,2.15,3.15,-0.2509390709213916,-0.5864145151197722,95.0,95.0,1.0,1.0,20.0,20.0,95.0,33.0,1.0,20.0,3.0,3.0,0.001326,1,2.0,2.0,1.0,0,0,0,0,0,0,0,0.0,2.036068530816489,1,lower,0,0,3.258096538021482,fair,fair,0,none
w15705,2010,D,4,68,3.264544,2.75,4.65,0.1646714699767904,-1.2625321879390534,215.0,112.5,16.0,26.0,101.0,36.5,6.0,4.0,0.0,6.0,28.0,16.25,0.036426,1,2.0,2.25,1.0,0,0,0,0,1,2,0,1.0,3.1261355736819727,4,top5,1,1,6.452048954437226,strong,strong,1,mid
w15706,2010,F,3,69,3.2919605,2.75,3.85,0.083014825381179,-1.445322918385492,311.0,109.67,1.0,2.0,21.0,8.0,2.0,2.0,0.0,0.0,26.0,11.67,0.02294,1,1.0,1.67,1.0,0,0,0,0,1,3,1,0.0,3.0986050145594564,3,top_field,0,1,3.4339872044851463,strong,strong,0,none
w15707,2010,A,4,70,3.743815,2.1999999999999997,4.0,-0.0739867738919031,-0.296128296773136,219.0,131.75,13.0,24.0,35.0,25.25,125.0,62.0,1.0,17.0,30.0,15.25,0.013127,1,2.0,2.0,1.0,0,0,0,0,1,5,0,0.0,3.7569393768065713,3,top_field,0,1,5.313205979041787,exceptional,fair,0,none
w15708,2010,E,2,71,3.4292415,2.1999999999999997,4.85,-0.3595246413284202,-1.0421528215784517,24.0,21.5,3.0,4.0,6.0,6.0,19.0,15.0,1.0,6.0,8.0,5.5,0.000937,1,1.0,1.5,1.0,0,0,0,0,0,0,0,3.0,3.3918272930714153,3,top_field,0,1,1.0986122886681098,strong,fair,1,low
w15709,2010,G,2,72,3.6646995,2.85,3.35,-0.4946072744090632,-0.5659742620874681,48.0,43.5,3.0,3.0,37.0,29.5,48.0,12.0,3.0,22.0,8.0,5.5,0.007415,1,1.0,1.0,1.0,0,0,0,0,1,1,0,0.0,3.668471745034896,2,mid,0,0,4.418840607796598,exceptional,strong,0,none
w15710,2010,E,2,43,2.5762615,2.15,3.35,0.0694976761809287,0.9070792687834064,209.0,126.0,1.0,1.0,70.0,40.5,209.0,67.0,0.0,70.0,31.0,18.5,0.047813,1,2.0,2.0,1.0,0,0,0,0,1,5,0,0.0,2.0466324280402572,2,mid,0,0,3.828641396489095,fair,fair,0,none
w15711,2010,F,2,73,2.9143795,2.15,3.35,0.2039295454969458,2.35940257517145,175.0,114.0,5.0,9.0,116.0,62.5,53.0,32.0,4.0,116.0,16.0,15.0,0.023863,1,3.0,3.0,0.0,0,0,0,0,1,6,0,0.0,2.9517641928672207,3,top_field,0,1,5.817111159963204,strong,fair,0,none
